inventory_id,item_id,location,case_count_on_hand,case_count_allocated,case_count_available,unit_price,date_last_sold,case_count_last_sold,date_extracted
141369,104763,XTR,2387,0,2387,0,0,0,Mon Oct 11 16:52:32 2021
141366,104762,HLD,57,0,57,0,20211011,56,Mon Oct 11 16:52:32 2021
141363,104761,MOF,3026,56,2970,0,0,0,Mon Oct 11 16:52:32 2021
141360,104760,HLD,22,0,22,0,20211006,40,Mon Oct 11 16:52:32 2021
141350,104752,MOF,30,30,0,0,0,0,Mon Oct 11 16:52:32 2021
141347,104751,MOF,40,40,0,0,20211011,3,Mon Oct 11 16:52:32 2021
141344,104750,MOF,30,30,0,0,0,0,Mon Oct 11 16:52:32 2021
141341,104749,MOF,26,26,0,0,20211011,3,Mon Oct 11 16:52:32 2021
141338,104748,MOF,10,10,0,0,20211007,28,Mon Oct 11 16:52:32 2021
141335,104747,MOF,5,5,0,0,20211011,1,Mon Oct 11 16:52:32 2021
141323,104743,XTR,2160,0,2160,0,0,0,Mon Oct 11 16:52:32 2021
141322,104742,MOF,2457,80,2377,0,20211008,4,Mon Oct 11 16:52:32 2021
141315,104741,MOF,1102,418,684,0,20211011,20,Mon Oct 11 16:52:32 2021
141309,104739,MOF,19,19,0,0,20211011,1,Mon Oct 11 16:52:32 2021
141306,104738,MOF,52,52,0,0,20211011,6,Mon Oct 11 16:52:32 2021
141303,104737,MOF,316,256,60,0,20211011,1,Mon Oct 11 16:52:32 2021
141300,104736,MOF,16,16,0,0,20211011,4,Mon Oct 11 16:52:32 2021
141297,104735,MOF,7,7,0,0,20211011,1,Mon Oct 11 16:52:32 2021
141291,104733,MOF,22,22,0,0,20211008,8,Mon Oct 11 16:52:32 2021
141288,104732,MOF,15,15,0,0,20211008,2,Mon Oct 11 16:52:32 2021
141285,104731,MOF,145,145,0,0,20211011,5,Mon Oct 11 16:52:32 2021
141282,104730,MOF,31,31,0,0,20211008,8,Mon Oct 11 16:52:32 2021
141279,104729,MOF,86,86,0,0,20211011,3,Mon Oct 11 16:52:32 2021
141276,104728,MOF,11,11,0,0,20211008,1,Mon Oct 11 16:52:32 2021
141273,104727,MOF,38,38,0,0,20211008,5,Mon Oct 11 16:52:32 2021
141270,104726,MOF,85,85,0,0,20211011,3,Mon Oct 11 16:52:32 2021
141267,104725,MOF,59,59,0,0,20211011,4,Mon Oct 11 16:52:32 2021
141264,104724,MOF,238,224,14,0,20211011,4,Mon Oct 11 16:52:32 2021
141263,104723,MOF,8,8,0,0,20211011,2,Mon Oct 11 16:52:32 2021
141260,104722,HLD,17,0,17,0,0,0,Mon Oct 11 16:52:32 2021
141257,104721,MOF,162,162,0,0,20211011,1,Mon Oct 11 16:52:32 2021
141242,104716,MOF,305,305,0,0,20211008,0,Mon Oct 11 16:52:32 2021
141235,104713,HLD,80,0,80,0,20211005,80,Mon Oct 11 16:52:32 2021
141232,104712,MOF,6,6,0,0,20211011,2,Mon Oct 11 16:52:32 2021
141229,104711,MOF,87,87,0,0,20211011,3,Mon Oct 11 16:52:32 2021
141222,104709,MOF,13,13,0,0,20211011,1,Mon Oct 11 16:52:32 2021
141219,104708,MOF,583,583,0,0,20211011,3,Mon Oct 11 16:52:32 2021
141216,104707,MOF,454,454,0,0,20211011,25,Mon Oct 11 16:52:32 2021
141213,104706,MOF,311,311,0,0,20211011,3,Mon Oct 11 16:52:32 2021
141210,104705,MOF,1067,348,719,0,20211011,8,Mon Oct 11 16:52:32 2021
141202,104703,MOF,15,15,0,0,0,0,Mon Oct 11 16:52:32 2021
141199,104702,MOF,1117,36,1081,0,20211011,25,Mon Oct 11 16:52:32 2021
141196,104701,MOF,12,12,0,22.74,20211011,1,Mon Oct 11 16:52:32 2021
141193,104700,MOF,92,92,0,0,20211011,44,Mon Oct 11 16:52:32 2021
141190,104699,MOF,123,67,56,18.42,20211011,1,Mon Oct 11 16:52:32 2021
141187,104698,MOF,319,33,286,25.86,20211011,14,Mon Oct 11 16:52:32 2021
141186,104697,XTR,113,0,113,17.19,0,0,Mon Oct 11 16:52:32 2021
141181,104696,HLD,7,0,7,0,20211006,40,Mon Oct 11 16:52:32 2021
141175,104694,HLD,71,0,71,0,20211001,6,Mon Oct 11 16:52:32 2021
141166,104691,HLD,64,0,64,0,20211006,2,Mon Oct 11 16:52:32 2021
141163,104690,HLD,5,0,5,0,20211002,12,Mon Oct 11 16:52:32 2021
141160,104689,HLD,25,0,25,0,20211007,21,Mon Oct 11 16:52:32 2021
141157,104688,MOF,140,140,0,0,20211011,25,Mon Oct 11 16:52:32 2021
141154,104687,MOF,21,21,0,0,20211011,6,Mon Oct 11 16:52:32 2021
141151,104686,MOF,213,213,0,0,20211011,4,Mon Oct 11 16:52:32 2021
141148,104685,MOF,241,241,0,0,20211011,6,Mon Oct 11 16:52:32 2021
141145,104684,HLD,56,0,56,0,20211006,25,Mon Oct 11 16:52:32 2021
141133,104680,MOF,7,7,0,0,20211008,3,Mon Oct 11 16:52:32 2021
141130,104679,MOF,14,14,0,0,20211008,2,Mon Oct 11 16:52:32 2021
141127,104678,MOF,16,16,0,0,20211008,5,Mon Oct 11 16:52:32 2021
141124,104677,MOF,21,21,0,0,20211011,2,Mon Oct 11 16:52:32 2021
141121,104676,MOF,9,9,0,0,20211011,8,Mon Oct 11 16:52:32 2021
141118,104675,MOF,17,17,0,0,20211008,5,Mon Oct 11 16:52:32 2021
141115,104674,MOF,23,23,0,0,20211005,3,Mon Oct 11 16:52:32 2021
141109,104672,MOF,10,10,0,0,20211004,10,Mon Oct 11 16:52:32 2021
141106,104671,MOF,5,5,0,0,20211004,13,Mon Oct 11 16:52:32 2021
141103,104670,MOF,10,10,0,0,20211004,13,Mon Oct 11 16:52:32 2021
141099,104669,MOF,321,321,0,0,20211011,5,Mon Oct 11 16:52:32 2021
141102,104668,REC,1,0,1,0,0,0,Mon Oct 11 16:52:32 2021
141096,104668,XTR,1343,0,1343,0,0,0,Mon Oct 11 16:52:32 2021
141093,104667,HLD,9,0,9,0,20211007,81,Mon Oct 11 16:52:32 2021
141090,104666,HLD,9,0,9,0,20211007,243,Mon Oct 11 16:52:32 2021
141081,104663,HLD,169,0,169,0,20211006,28,Mon Oct 11 16:52:32 2021
141078,104662,MOF,778,340,438,0,20211011,2,Mon Oct 11 16:52:32 2021
141075,104661,MOF,163,163,0,0,20211011,6,Mon Oct 11 16:52:32 2021
141072,104660,MOF,203,203,0,0,20211011,1,Mon Oct 11 16:52:32 2021
141069,104659,MOF,350,350,0,0,20211011,6,Mon Oct 11 16:52:32 2021
141066,104658,MOF,85,85,0,0,20211011,1,Mon Oct 11 16:52:32 2021
141063,104657,MOF,70,70,0,0,20211011,2,Mon Oct 11 16:52:32 2021
141060,104656,MOF,199,199,0,0,20211011,1,Mon Oct 11 16:52:32 2021
141051,104653,MOF,11,11,0,0,20211008,2,Mon Oct 11 16:52:32 2021
141048,104652,MOF,2,2,0,0,20211011,2,Mon Oct 11 16:52:32 2021
141045,104651,MOF,1,1,0,0,20211006,3,Mon Oct 11 16:52:32 2021
141042,104650,MOF,5,5,0,0,20211011,1,Mon Oct 11 16:52:32 2021
141039,104649,MOF,26,26,0,0,20211011,4,Mon Oct 11 16:52:32 2021
141036,104648,MOF,5,5,0,0,20211008,10,Mon Oct 11 16:52:32 2021
141033,104647,MOF,18,18,0,0,20211011,6,Mon Oct 11 16:52:32 2021
141030,104646,MOF,25,25,0,0,20211011,2,Mon Oct 11 16:52:32 2021
141027,104645,MOF,31,31,0,0,20211011,8,Mon Oct 11 16:52:32 2021
141024,104644,MOF,9,9,0,0,20211008,3,Mon Oct 11 16:52:32 2021
141021,104643,MOF,97,97,0,0,20211011,6,Mon Oct 11 16:52:32 2021
141018,104642,MOF,105,105,0,0,20211011,10,Mon Oct 11 16:52:32 2021
141015,104641,HLD,3,0,3,0,20210930,1,Mon Oct 11 16:52:32 2021
141009,104639,REC,1500,443,1057,0,0,0,Mon Oct 11 16:52:32 2021
141006,104638,MOF,2630,476,2154,0,20211011,10,Mon Oct 11 16:52:32 2021
141000,104636,MOF,1216,121,1095,0,20211011,4,Mon Oct 11 16:52:32 2021
140997,104635,HLD,63,0,63,0,20210929,6,Mon Oct 11 16:52:32 2021
140991,104633,MOF,3,3,0,0,0,0,Mon Oct 11 16:52:32 2021
140988,104632,MOF,3,3,0,0,0,0,Mon Oct 11 16:52:32 2021
140985,104631,MOF,80,48,32,0,20211011,1,Mon Oct 11 16:52:32 2021
140982,104630,MOF,27,27,0,0,20211006,1,Mon Oct 11 16:52:32 2021
140979,104629,MOF,18,18,0,0,20211011,2,Mon Oct 11 16:52:32 2021
140976,104628,MOF,31,31,0,0,20211011,2,Mon Oct 11 16:52:32 2021
140973,104627,MOF,144,107,37,0,20211011,20,Mon Oct 11 16:52:32 2021
